user_id,neighbor_id,duration_seconds
P0,P37,22.700000000000053
P0,P193,27.300000000000118
P0,P168,26.1000000000001
P0,P317,32.50000000000019
P0,P285,27.300000000000118
P0,P422,12.99999999999997
P0,P5,28.300000000000132
P0,P268,34.40000000000022
P0,P208,25.500000000000092
P0,P279,59.500000000000576
P0,P144,54.70000000000051
P0,P210,57.300000000000544
P0,P125,57.60000000000055
P0,P161,57.20000000000054
P0,P330,122.99999999999729
P0,P130,58.30000000000056
P0,P200,49.000000000000426
P0,P349,57.400000000000546
P1,P358,32.60000000000019
P1,P479,33.1000000000002
P1,P297,13.999999999999966
P1,P500,20.600000000000023
P1,P112,31.900000000000183
P1,P434,36.50000000000025
P1,P280,36.200000000000244
P1,P80,34.100000000000215
P1,P121,38.80000000000028
P1,P19,29.50000000000015
P1,P83,37.10000000000026
P1,P254,55.200000000000514
P1,P481,41.900000000000325
P1,P272,27.200000000000117
P1,P23,59.70000000000058
P1,P359,39.50000000000029
P1,P296,38.50000000000028
P1,P335,57.70000000000055
P1,P47,25.900000000000098
P1,P402,37.30000000000026
P1,P156,35.600000000000236
P1,P478,36.40000000000025
P1,P218,30.30000000000016
P1,P16,52.80000000000048
P1,P101,547.600000000056
P1,P313,38.20000000000027
P1,P5,54.80000000000051
P1,P85,53.100000000000485
P2,P173,21.80000000000004
P2,P494,30.20000000000016
P2,P96,37.50000000000026
P2,P375,23.600000000000065
P2,P65,62.40000000000062
P2,P307,32.800000000000196
P2,P491,745.3000000001009
P2,P300,30.700000000000166
P2,P485,31.00000000000017
P2,P79,32.30000000000019
P2,P111,30.100000000000158
P2,P213,31.300000000000175
P2,P417,39.700000000000294
P2,P204,26.1000000000001
P2,P278,51.90000000000047
P2,P163,30.100000000000158
P2,P267,24.200000000000074
P2,P27,39.60000000000029
P2,P355,33.0000000000002
P2,P381,27.200000000000117
P2,P403,28.500000000000135
P2,P507,38.90000000000028
P2,P158,36.80000000000025
P2,P82,36.60000000000025
P2,P342,29.800000000000153
P2,P337,31.300000000000175
P2,P127,449.60000000003373
P2,P386,30.20000000000016
P2,P461,57.10000000000054
P2,P94,37.80000000000027
P2,P502,38.80000000000028
P2,P294,56.000000000000526
P2,P450,50.60000000000045
P2,P28,58.50000000000056
P2,P88,39.700000000000294
P2,P506,26.1000000000001
P2,P66,21.10000000000003
P2,P443,50.300000000000445
P2,P98,58.000000000000554
P2,P247,58.000000000000554
P2,P376,50.300000000000445
P2,P89,53.30000000000049
P2,P274,1836.799999999425
P2,P471,51.30000000000046
P3,P37,27.900000000000126
P3,P360,38.10000000000027
P3,P264,20.100000000000016
P3,P188,59.90000000000058
P3,P259,6.299999999999994
P3,P152,21.90000000000004
P3,P225,29.300000000000146
P3,P217,29.900000000000155
P3,P157,59.10000000000057
P3,P194,33.90000000000021
P3,P481,36.200000000000244
P3,P327,40.2000000000003
P3,P506,37.50000000000026
P3,P212,34.50000000000022
P3,P102,37.20000000000026
P3,P349,35.20000000000023
P3,P42,34.900000000000226
P3,P432,27.100000000000115
P3,P189,40.400000000000304
P3,P146,58.40000000000056
P3,P92,30.500000000000163
P3,P409,25.500000000000092
P3,P448,32.50000000000019
P3,P115,49.10000000000043
P3,P404,31.400000000000176
P3,P53,35.00000000000023
P3,P257,49.80000000000044
P3,P114,32.20000000000019
P3,P487,35.30000000000023
P3,P26,37.600000000000264
P3,P73,32.800000000000196
P3,P347,35.40000000000023
P3,P458,23.90000000000007
P3,P499,37.90000000000027
P3,P113,2.9000000000000012
P3,P7,39.9000000000003
P3,P269,52.60000000000048
P3,P354,35.40000000000023
P3,P250,59.500000000000576
P3,P30,56.40000000000053
P3,P427,32.9000000000002
P3,P333,108.29999999999812
P3,P390,30.30000000000016
P3,P440,38.400000000000276
P3,P24,104.29999999999835
P3,P330,0.1
P3,P449,28.500000000000135
P3,P480,33.1000000000002
P3,P220,123.09999999999728
P3,P260,108.49999999999811
P3,P4,22.000000000000043
P3,P32,37.30000000000026
P3,P18,39.50000000000029
P3,P396,28.400000000000134
P3,P329,51.800000000000466
P3,P65,48.300000000000416
P3,P6,149.2999999999958
P3,P184,37.600000000000264
P3,P63,20.50000000000002
P4,P342,257.7999999999901
P4,P275,37.10000000000026
P4,P415,30.000000000000156
P4,P139,29.800000000000153
P4,P50,30.500000000000163
P4,P299,26.80000000000011
P4,P148,51.000000000000455
P4,P455,55.60000000000052
P4,P124,34.800000000000225
P4,P450,55.60000000000052
P4,P334,31.900000000000183
P4,P28,54.600000000000506
P4,P318,6.799999999999992
P4,P145,38.90000000000028
P4,P56,57.00000000000054
P4,P312,56.20000000000053
P4,P469,35.20000000000023
P4,P123,37.50000000000026
P4,P301,54.3000000000005
P4,P295,50.00000000000044
P4,P3,22.000000000000043
P4,P464,53.00000000000048
P4,P45,49.40000000000043
P4,P431,51.20000000000046
P4,P206,53.200000000000486
P4,P486,49.20000000000043
P4,P402,26.900000000000112
P4,P353,30.100000000000158
P4,P43,30.800000000000168
P4,P24,57.400000000000546
P4,P65,50.400000000000446
P4,P396,39.000000000000284
P4,P333,53.00000000000048
P4,P30,59.90000000000058
P4,P489,32.20000000000019
P4,P250,54.80000000000051
P4,P86,33.60000000000021
P4,P77,54.2000000000005
P4,P164,54.2000000000005
P4,P75,58.700000000000564
P4,P269,58.20000000000056
P4,P17,28.000000000000128
P4,P140,56.000000000000526
P4,P475,54.600000000000506
P4,P257,53.00000000000048
P4,P115,49.20000000000043
P4,P184,30.500000000000163
P4,P498,49.20000000000043
P4,P201,53.40000000000049
P4,P157,32.000000000000185
P4,P63,24.800000000000082
P4,P47,51.20000000000046
P4,P508,38.90000000000028
P4,P130,39.50000000000029
P4,P265,37.50000000000026
P4,P96,39.20000000000029
P4,P89,50.300000000000445
P5,P424,16.29999999999996
P5,P201,26.600000000000108
P5,P494,27.900000000000126
P5,P137,28.90000000000014
P5,P456,20.100000000000016
P5,P153,26.0000000000001
P5,P308,26.600000000000108
P5,P160,31.200000000000173
P5,P0,28.300000000000132
P5,P100,104.99999999999831
P5,P107,55.80000000000052
P5,P306,53.30000000000049
P5,P313,55.50000000000052
P5,P85,51.90000000000047
P5,P287,55.200000000000514
P5,P1,54.80000000000051
P6,P201,35.10000000000023
P6,P208,39.800000000000296
P6,P222,29.400000000000148
P6,P25,2349.099999998959
P6,P93,51.40000000000046
P6,P211,30.800000000000168
P6,P395,55.50000000000052
P6,P359,34.800000000000225
P6,P343,2313.3999999989915
P6,P75,289.2999999999973
P6,P149,41.900000000000325
P6,P118,40.80000000000031
P6,P97,38.400000000000276
P6,P96,25.700000000000095
P6,P375,42.30000000000033
P6,P344,34.60000000000022
P6,P156,35.70000000000024
P6,P307,35.500000000000234
P6,P79,34.00000000000021
P6,P300,34.100000000000215
P6,P485,37.90000000000027
P6,P44,35.80000000000024
P6,P111,37.80000000000027
P6,P126,701.600000000091
P6,P213,28.80000000000014
P6,P417,28.20000000000013
P6,P204,25.700000000000095
P6,P23,48.300000000000416
P6,P314,26.70000000000011
P6,P278,53.200000000000486
P6,P163,43.00000000000034
P6,P267,24.800000000000082
P6,P164,38.50000000000028
P6,P27,36.10000000000024
P6,P355,38.10000000000027
