id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
P_1-2_5752_B_M12NDCMZ,20085.0,23674.0,3590.0,P_1-2_5752,Bluetooth,6265.0,0.573024740622506
P_1-2_5753_L_PBV31Y1C,18303.0,25200.0,6898.0,P_1-2_5753,LTE,6898.0,1.0
P_1-2_5765_B_COHMDPCK,19669.0,25200.0,5532.0,P_1-2_5765,Bluetooth,5532.0,1.0
P_1-2_5800_B_COISZOWY,20216.0,25200.0,4985.0,P_1-2_5800,Bluetooth,4985.0,1.0
P_1-2_5803_B_WGVM5BH3,21036.0,25200.0,4165.0,P_1-2_5803,Bluetooth,4165.0,1.0
P_1-2_5806_L_E5JM7MP9,21171.0,25200.0,4030.0,P_1-2_5806,LTE,4030.0,1.0
P_1-2_5814_L_KWJVP8IK,20614.0,25200.0,4587.0,P_1-2_5814,LTE,4587.0,1.0
P_1-2_583_L_QLTTVAJF,21054.0,25200.0,4147.0,P_1-2_583,LTE,4147.0,1.0
P_1-2_5834_B_ZM4KABJK,21155.0,25200.0,4046.0,P_1-2_5834,Bluetooth,4046.0,1.0
P_1-2_5885_L_56E4BIOI,21113.0,24025.0,2913.0,P_1-2_5885,LTE,4739.0,0.6146866427516353
P_1-2_5927_L_U3Y68DG7,18670.0,25200.0,6531.0,P_1-2_5927,LTE,6531.0,1.0
P_1-2_593_B_49NMEJZS,21901.0,25200.0,3300.0,P_1-2_593,Bluetooth,6862.0,0.4809093558729233
P_1-2_5935_L_YQSLMIMS,21190.0,25200.0,4011.0,P_1-2_5935,LTE,4011.0,1.0
P_1-2_5943_B_GD671MO4,18201.0,25200.0,7000.0,P_1-2_5943,Bluetooth,7000.0,1.0
P_1-2_5951_B_YGCYYN1L,18716.0,25200.0,6485.0,P_1-2_5951,Bluetooth,6485.0,1.0
P_1-2_6013_B_ZOZB3E17,19164.0,25200.0,6037.0,P_1-2_6013,Bluetooth,6037.0,1.0
P_1-2_6019_L_1U6P49XM,20016.0,25200.0,5185.0,P_1-2_6019,LTE,5185.0,1.0
P_1-2_6028_B_3QXWZMHH,20955.0,25200.0,4246.0,P_1-2_6028,Bluetooth,4246.0,1.0
P_1-2_6071_L_2DNH7VWN,22595.0,25110.0,2516.0,P_1-2_6071,LTE,4873.0,0.5163143853888775
P_1-2_609_B_4IV5PUJX,18037.0,25200.0,7164.0,P_1-2_609,Bluetooth,7164.0,1.0
