id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
P146_B_U0OODA0L,1,7200,7200,P146,Bluetooth,7200.0,1.0
P147_B_27ZO8RB2,1,7200,7200,P147,Bluetooth,7200.0,1.0
P148_B_DRA60W1X,1,3743,3743,P148,Bluetooth,7200.0,0.5198611111111111
P149_B_UIY4AFNT,1,7200,7200,P149,Bluetooth,7200.0,1.0
P15_B_NDVAR9AE,1,7200,7200,P15,Bluetooth,7200.0,1.0
P150_B_CYKQOQX3,1,7200,7200,P150,Bluetooth,7200.0,1.0
P151_L_83JGZTYJ,1,5540,5540,P151,LTE,7200.0,0.7694444444444445
P152_L_73O88T63,1,7200,7200,P152,LTE,7200.0,1.0
P153_L_2CT8R14A,1,7200,7200,P153,LTE,7200.0,1.0
P154_L_TB7C5W2O,1,7200,7200,P154,LTE,7200.0,1.0
P155_B_B4ZSTRIR,1,7200,7200,P155,Bluetooth,7200.0,1.0
P156_B_UP2XQNSD,1,7200,7200,P156,Bluetooth,7200.0,1.0
P157_L_RI3NVPRN,1,7200,7200,P157,LTE,7200.0,1.0
P158_B_OV5KZYFX,1,7200,7200,P158,Bluetooth,7200.0,1.0
P159_L_5WQ009L8,1,7200,7200,P159,LTE,7200.0,1.0
P16_L_I2HI1CC2,1,7200,7200,P16,LTE,7200.0,1.0
P160_L_R1N3ZLAF,1,7200,7200,P160,LTE,7200.0,1.0
P161_L_HTJ9XQLA,1,7200,7200,P161,LTE,7200.0,1.0
P162_B_KU3VZQPC,1,7200,7200,P162,Bluetooth,7200.0,1.0
P163_B_QPPEN3S6,1,7200,7200,P163,Bluetooth,7200.0,1.0
P164_B_RAZO4EWQ,1,7200,7200,P164,Bluetooth,7200.0,1.0
P165_L_EHXYXMNV,1,7200,7200,P165,LTE,7200.0,1.0
P166_B_F50UL3ET,1,7200,7200,P166,Bluetooth,7200.0,1.0
P167_B_WX2C7MT2,1,7200,7200,P167,Bluetooth,7200.0,1.0
P168_B_9RQP1U5L,1,7200,7200,P168,Bluetooth,7200.0,1.0
P169_B_NPIXEK73,1,7200,7200,P169,Bluetooth,7200.0,1.0
P17_L_NO3PVJQW,1,7200,7200,P17,LTE,7200.0,1.0
P170_B_1QX2XXXD,1,7200,7200,P170,Bluetooth,7200.0,1.0
P171_B_VV4PFET0,665,7200,6536,P171,Bluetooth,7200.0,0.9077777777777778
P172_B_F8G0THG1,1,7200,7200,P172,Bluetooth,7200.0,1.0
P173_L_1CUA072T,1,7200,7200,P173,LTE,7200.0,1.0
