id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
P_1-2_2554_B_VOUJ6S9H,18861.0,25200.0,6340.0,P_1-2_2554,Bluetooth,6340.0,1.0
P_1-2_2564_B_UNJWIC0O,18266.0,25200.0,6935.0,P_1-2_2564,Bluetooth,6935.0,1.0
P_1-2_2580_B_UUC8O358,18131.0,23598.0,5468.0,P_1-2_2580,Bluetooth,7070.0,0.7734087694483734
P_1-2_2598_B_4Y4NZDBF,18728.0,25200.0,6473.0,P_1-2_2598,Bluetooth,6473.0,1.0
P_1-2_2613_B_56VZR5XV,19011.0,25200.0,6190.0,P_1-2_2613,Bluetooth,6190.0,1.0
P_1-2_263_B_HEK0VFCB,19480.0,25200.0,5721.0,P_1-2_263,Bluetooth,5721.0,1.0
P_1-2_2653_L_16L6L5V7,19284.0,25200.0,5917.0,P_1-2_2653,LTE,5917.0,1.0
P_1-2_2702_L_4KGA5UDU,19117.0,25200.0,6084.0,P_1-2_2702,LTE,6084.0,1.0
P_1-2_2715_L_3AMYIDDZ,19156.0,25200.0,6045.0,P_1-2_2715,LTE,6045.0,1.0
P_1-2_2795_L_FO7SBHBA,19531.0,25200.0,5670.0,P_1-2_2795,LTE,5670.0,1.0
P_1-2_2797_L_FT4PFTQR,19222.0,24930.0,5709.0,P_1-2_2797,LTE,6046.0,0.944260668210387
P_1-2_2875_L_2ESW1YDG,19528.0,25200.0,5673.0,P_1-2_2875,LTE,5673.0,1.0
P_1-2_303_L_TJ0XYBHU,19653.0,25058.0,5406.0,P_1-2_303,LTE,5548.0,0.9744051910598414
P_1-2_3052_L_GO3Y6RWZ,18836.0,25200.0,6365.0,P_1-2_3052,LTE,6365.0,1.0
P_1-2_3077_L_AAAVI6V6,18664.0,25200.0,6537.0,P_1-2_3077,LTE,6537.0,1.0
P_1-2_3081_L_0KTUOVVR,19610.0,25200.0,5591.0,P_1-2_3081,LTE,5591.0,1.0
P_1-2_315_B_A9XO1XTY,19048.0,25200.0,6153.0,P_1-2_315,Bluetooth,6153.0,1.0
P_1-2_3214_L_8AURR07Z,18154.0,25200.0,7047.0,P_1-2_3214,LTE,7047.0,1.0
P_1-2_3224_L_PRV6B187,19465.0,25200.0,5736.0,P_1-2_3224,LTE,5736.0,1.0
P_1-2_3280_L_AHCVQSTB,18337.0,25200.0,6864.0,P_1-2_3280,LTE,6864.0,1.0
P_1-2_3286_B_UQZ52SYQ,18623.0,25200.0,6578.0,P_1-2_3286,Bluetooth,6578.0,1.0
P_1-2_3378_L_FV4M779W,19510.0,25200.0,5691.0,P_1-2_3378,LTE,5691.0,1.0
P_1-2_3386_L_XG2PITBP,18330.0,25200.0,6871.0,P_1-2_3386,LTE,6871.0,1.0
P_1-2_3389_B_5AMS3DBP,19603.0,25200.0,5598.0,P_1-2_3389,Bluetooth,5598.0,1.0
P_1-2_3413_L_ADO8FAZU,19608.0,25200.0,5593.0,P_1-2_3413,LTE,5593.0,1.0
P_1-2_3464_B_DZ7Y6N5O,19027.0,23601.0,4575.0,P_1-2_3464,Bluetooth,6174.0,0.7410106899902819
P_1-2_3488_L_P9CO346G,18112.0,25200.0,7089.0,P_1-2_3488,LTE,7089.0,1.0
P_1-2_3575_B_425K36H8,18328.0,23335.0,5008.0,P_1-2_3575,Bluetooth,6873.0,0.7286483340608176
P_1-2_3590_B_06W03YH4,19043.0,25200.0,6158.0,P_1-2_3590,Bluetooth,6158.0,1.0
P_1-2_3608_B_Y2C73ANP,18213.0,25200.0,6988.0,P_1-2_3608,Bluetooth,6988.0,1.0
P_1-2_3692_B_KP5M7T9T,19240.0,25200.0,5961.0,P_1-2_3692,Bluetooth,5961.0,1.0
P_1-2_3693_L_BFN67OSA,18178.0,25200.0,7023.0,P_1-2_3693,LTE,7023.0,1.0
P_1-2_3702_B_PTWB317W,19522.0,25200.0,5679.0,P_1-2_3702,Bluetooth,5679.0,1.0
P_1-2_3708_L_PAWVJKR7,19057.0,25200.0,6144.0,P_1-2_3708,LTE,6144.0,1.0
P_1-2_3716_L_G7383A81,19572.0,25200.0,5629.0,P_1-2_3716,LTE,5629.0,1.0
P_1-2_3752_B_YB5QTOK0,19720.0,25200.0,5481.0,P_1-2_3752,Bluetooth,5481.0,1.0
P_1-2_3821_L_Q8TA9YPP,19206.0,23637.0,4432.0,P_1-2_3821,LTE,7142.0,0.6205544665359843
P_1-2_3835_L_NIOWV7MF,18598.0,25200.0,6603.0,P_1-2_3835,LTE,6603.0,1.0
P_1-2_3879_L_NMO7OTSK,18720.0,25200.0,6481.0,P_1-2_3879,LTE,6481.0,1.0
P_1-2_3908_L_QP1CUAC5,18737.0,24943.0,6207.0,P_1-2_3908,LTE,6464.0,0.9602413366336634
P_1-2_4019_B_NOZ9DNTE,19828.0,25200.0,5373.0,P_1-2_4019,Bluetooth,5373.0,1.0
P_1-2_4065_B_S04GNIQT,19178.0,25200.0,6023.0,P_1-2_4065,Bluetooth,6023.0,1.0
P_1-2_4098_B_DQXEPLDO,18917.0,25200.0,6284.0,P_1-2_4098,Bluetooth,6284.0,1.0
P_1-2_4206_B_UDG1TWTU,18257.0,25200.0,6944.0,P_1-2_4206,Bluetooth,6944.0,1.0
P_1-2_4208_L_7M7F5MLV,18597.0,25200.0,6604.0,P_1-2_4208,LTE,6604.0,1.0
P_1-2_4249_B_H1WVSU8D,19324.0,25200.0,5877.0,P_1-2_4249,Bluetooth,5877.0,1.0
P_1-2_4266_B_W105S0OP,19347.0,25200.0,5854.0,P_1-2_4266,Bluetooth,5854.0,1.0
P_1-2_4270_L_R4Z4AZSF,18164.0,25200.0,7037.0,P_1-2_4270,LTE,7037.0,1.0
P_1-2_4285_L_S9SPW7EH,19753.0,25200.0,5448.0,P_1-2_4285,LTE,5448.0,1.0
P_1-2_4327_B_7MUI42M9,18086.0,25200.0,7115.0,P_1-2_4327,Bluetooth,7115.0,1.0
P_1-2_4329_B_44NFHY19,19542.0,25200.0,5659.0,P_1-2_4329,Bluetooth,5659.0,1.0
P_1-2_4376_B_CM5HTXKT,18588.0,25200.0,6613.0,P_1-2_4376,Bluetooth,6613.0,1.0
P_1-2_4388_L_1LBBH9LO,18397.0,25200.0,6804.0,P_1-2_4388,LTE,6804.0,1.0
P_1-2_4454_B_GNEQ0DM4,18070.0,25200.0,7131.0,P_1-2_4454,Bluetooth,7131.0,1.0
P_1-2_4464_B_VEVIU5IM,19783.0,25200.0,5418.0,P_1-2_4464,Bluetooth,5418.0,1.0
P_1-2_4483_B_SJAKQP2O,18716.0,25200.0,6485.0,P_1-2_4483,Bluetooth,6485.0,1.0
P_1-2_4607_B_CR2Q1MY0,19091.0,25200.0,6110.0,P_1-2_4607,Bluetooth,6110.0,1.0
P_1-2_4609_B_YEFZRW6M,18126.0,25200.0,7075.0,P_1-2_4609,Bluetooth,7075.0,1.0
P_1-2_4634_L_QZAXAW7G,18125.0,25200.0,7076.0,P_1-2_4634,LTE,7076.0,1.0
P_1-2_4715_L_MOL958WR,18481.0,25200.0,6720.0,P_1-2_4715,LTE,6720.0,1.0
P_1-2_4724_L_IIISQ6FU,19358.0,25200.0,5843.0,P_1-2_4724,LTE,5843.0,1.0
P_1-2_4730_B_P72LICLO,18769.0,25200.0,6432.0,P_1-2_4730,Bluetooth,6432.0,1.0
P_1-2_4734_B_DYZVMU6W,18042.0,25200.0,7159.0,P_1-2_4734,Bluetooth,7159.0,1.0
P_1-2_4753_B_JQMHJG4I,19531.0,25200.0,5670.0,P_1-2_4753,Bluetooth,6759.0,0.8388814913448736
P_1-2_4771_L_5ZI8R6PH,19517.0,25200.0,5684.0,P_1-2_4771,LTE,5684.0,1.0
P_1-2_4791_B_3XT9H521,18573.0,25200.0,6628.0,P_1-2_4791,Bluetooth,6628.0,1.0
P_1-2_4853_L_GSQU6T99,18310.0,25200.0,6891.0,P_1-2_4853,LTE,6891.0,1.0
P_1-2_4886_B_YB9BNPR6,19280.0,24894.0,5615.0,P_1-2_4886,Bluetooth,5921.0,0.9483195406181388
P_1-2_4940_B_5UIN09PN,18737.0,25200.0,6464.0,P_1-2_4940,Bluetooth,6464.0,1.0
P_1-2_4955_L_J62EDUV1,18281.0,25200.0,6920.0,P_1-2_4955,LTE,6920.0,1.0
P_1-2_4962_L_5HHJQ0LP,19046.0,25200.0,6155.0,P_1-2_4962,LTE,6155.0,1.0
P_1-2_5020_B_2QARLTEA,19018.0,25200.0,6183.0,P_1-2_5020,Bluetooth,6183.0,1.0
P_1-2_505_L_AM4XZW14,19005.0,25200.0,6196.0,P_1-2_505,LTE,6196.0,1.0
P_1-2_5092_B_BY4UVTP8,18336.0,25200.0,6865.0,P_1-2_5092,Bluetooth,6986.0,0.9826796450042943
P_1-2_5210_L_DS0U92HL,18633.0,25200.0,6568.0,P_1-2_5210,LTE,6568.0,1.0
P_1-2_5252_L_OSMCTDUJ,18908.0,25200.0,6293.0,P_1-2_5252,LTE,6293.0,1.0
P_1-2_5288_B_MGOWMIXW,18917.0,25200.0,6284.0,P_1-2_5288,Bluetooth,6284.0,1.0
P_1-2_5369_B_4MLZC6ZQ,19327.0,25200.0,5874.0,P_1-2_5369,Bluetooth,5874.0,1.0
P_1-2_5428_B_AWP6XCDZ,19135.0,25200.0,6066.0,P_1-2_5428,Bluetooth,6066.0,1.0
P_1-2_5437_B_OX0VRNK1,19546.0,25200.0,5655.0,P_1-2_5437,Bluetooth,5655.0,1.0
P_1-2_5518_L_PKRSCB9K,18103.0,25200.0,7098.0,P_1-2_5518,LTE,7098.0,1.0
P_1-2_5543_B_RKUX8OV1,19825.0,25200.0,5376.0,P_1-2_5543,Bluetooth,5376.0,1.0
P_1-2_5640_L_C98N3A3B,18258.0,25200.0,6943.0,P_1-2_5640,LTE,6943.0,1.0
P_1-2_5641_L_7XUIF25G,18619.0,23618.0,5000.0,P_1-2_5641,LTE,6582.0,0.7596475235490733
