id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
P80_L_5KWRZCI1,1,7200,7200,P80,LTE,7200.0,1.0
P800_B_SAF2RA0U,1,7200,7200,P800,Bluetooth,7200.0,1.0
P801_L_FIPVDKN6,1,7200,7200,P801,LTE,7200.0,1.0
P802_L_3NMBCKM2,1,7200,7200,P802,LTE,7200.0,1.0
P803_B_LSH4SHWQ,1,7200,7200,P803,Bluetooth,7200.0,1.0
P804_B_XHJU1Y4U,1,7200,7200,P804,Bluetooth,7200.0,1.0
P805_L_F05VYN6J,1,7200,7200,P805,LTE,7200.0,1.0
P806_B_39UBY9XJ,1,7200,7200,P806,Bluetooth,7200.0,1.0
P807_B_CLN4P798,1,7200,7200,P807,Bluetooth,7200.0,1.0
P808_B_5HWDXXSN,1,7200,7200,P808,Bluetooth,7200.0,1.0
P809_B_SJN8O67G,1,4566,4566,P809,Bluetooth,7200.0,0.6341666666666667
P81_L_EMEVXV0T,1,4612,4612,P81,LTE,7200.0,0.6405555555555555
P810_L_1Z6O3VDO,1,7200,7200,P810,LTE,7200.0,1.0
P811_L_EJF2H6NE,1,7200,7200,P811,LTE,7200.0,1.0
P812_B_9BTWSBUE,1,7200,7200,P812,Bluetooth,7200.0,1.0
P813_L_BNS8H6CC,2945,7200,4256,P813,LTE,7200.0,0.5911111111111111
P814_B_ECBNU66D,1,7200,7200,P814,Bluetooth,7200.0,1.0
P815_L_XQ2ZG6TL,1,7200,7200,P815,LTE,7200.0,1.0
P816_B_VDOJJ72S,1,7200,7200,P816,Bluetooth,7200.0,1.0
P817_L_CGC5CY6M,1,7200,7200,P817,LTE,7200.0,1.0
P818_L_FEQOWCO6,1369,7200,5832,P818,LTE,7200.0,0.81
P819_L_J75EBSNW,1,7200,7200,P819,LTE,7200.0,1.0
P82_B_IGO3R5EZ,1,7200,7200,P82,Bluetooth,7200.0,1.0
P820_L_B6FY5WBZ,1,7200,7200,P820,LTE,7200.0,1.0
P821_B_AU9EG8BD,1,7200,7200,P821,Bluetooth,7200.0,1.0
P822_B_5YXUZZQ6,1,7200,7200,P822,Bluetooth,7200.0,1.0
P823_L_5000FOO1,1,7200,7200,P823,LTE,7200.0,1.0
P824_L_H0139D75,1,7200,7200,P824,LTE,7200.0,1.0
P825_B_YX0G7ZRT,1,5052,5052,P825,Bluetooth,7200.0,0.7016666666666667
P826_L_Q93RBDO7,1,7200,7200,P826,LTE,7200.0,1.0
P827_B_U78EH4JI,1,7200,7200,P827,Bluetooth,7200.0,1.0
P828_B_VJSZD1UD,1,7200,7200,P828,Bluetooth,7200.0,1.0
P829_B_E7F4HAM4,1,6721,6721,P829,Bluetooth,7200.0,0.9334722222222223
P83_L_88E26PDB,1,7200,7200,P83,LTE,7200.0,1.0
P830_L_KLKYPQUD,1,7200,7200,P830,LTE,7200.0,1.0
P831_B_REGTVQS3,1,5442,5442,P831,Bluetooth,7200.0,0.7558333333333334
P832_B_Q6W0KTP0,1,7200,7200,P832,Bluetooth,7200.0,1.0
P833_L_GSLGWWWS,1,7200,7200,P833,LTE,7200.0,1.0
P834_B_BDV3E0AP,1,4085,4085,P834,Bluetooth,7200.0,0.5673611111111111
P835_B_70713S4D,1,7200,7200,P835,Bluetooth,7200.0,1.0
P836_B_VE4CO705,2942,7200,4259,P836,Bluetooth,7200.0,0.5915277777777778
P837_L_SOAGLB84,1,7200,7200,P837,LTE,7200.0,1.0
P838_B_ZVJX5Z6P,1,5944,5944,P838,Bluetooth,7200.0,0.8255555555555556
P839_B_ZU3OOSUJ,1,7200,7200,P839,Bluetooth,7200.0,1.0
P84_L_GV8PPG9F,228,7200,6973,P84,LTE,7200.0,0.9684722222222222
P840_B_END8Q89G,1,7200,7200,P840,Bluetooth,7200.0,1.0
P841_L_JIIET9RP,1,5327,5327,P841,LTE,7200.0,0.7398611111111111
P842_B_FZA3O9W8,1,5074,5074,P842,Bluetooth,7200.0,0.7047222222222222
P843_B_I90HK5V5,1,4124,4124,P843,Bluetooth,7200.0,0.5727777777777778
P844_L_EPRXGFTY,1,7200,7200,P844,LTE,7200.0,1.0
