user_id,neighbor_id,duration_seconds
P_1-2_1990,P_1-3_5334,53.40000000000049
P_1-2_1990,P_1-1-pt_7732,57.10000000000054
P_1-2_1990,P_1-1-pt_5115,57.00000000000054
P_1-2_1990,P_1-2_3386,51.800000000000466
P_1-2_1990,P_1-2_3575,101.29999999999852
P_1-2_1990,P_1-1-pt_1226,23.90000000000007
P_1-3_2374,P_1-3_2187,53.70000000000049
P_1-3_2374,P_2-1_213,57.300000000000544
P_1-3_2374,P_1-3_3132,53.70000000000049
P_1-3_2410,P_1-2_4634,165.89999999999486
P_1-3_2410,P_1-3_4775,175.8999999999943
P_1-3_2410,P_1-3_3253,111.79999999999792
P_1-3_2410,P_1-3_2018,63.700000000000635
P_1-3_2410,P_1-3_2633,55.50000000000052
P_1-3_2410,P_1-2_5210,62.50000000000062
P_1-3_2410,P_1-2_573,55.40000000000052
P_1-3_2410,P_1-3_4954,112.2999999999979
P_1-3_2410,P_1-3_4875,111.39999999999795
P_1-3_2410,P_1-3_3410,55.00000000000051
P_1-1-veh_105,P_1-1-pt_5078,51.40000000000046
P_1-1-veh_105,P_1-3_3046,53.900000000000496
P_1-1-veh_105,P_1-3_3457,20.000000000000014
P_1-1-veh_105,P_1-1-veh_234,53.50000000000049
P_1-1-veh_105,P_1-1-pt_2606,50.90000000000045
P_1-1-veh_105,P_1-1-pt_7142,48.40000000000042
P_1-1-veh_105,P_1-1-pt_6538,50.80000000000045
P_1-1-veh_105,P_1-2_1596,53.40000000000049
P_1-1-veh_105,P_1-3_4168,53.40000000000049
P_1-1-veh_105,P_1-2_3081,53.30000000000049
P_1-1-veh_105,P_1-1-pt_7080,55.10000000000051
P_1-1-veh_105,P_1-1-veh_792,28.400000000000134
P_1-1-veh_105,P_1-1-pt_7763,51.20000000000046
P_1-1-veh_105,P_1-2_2554,46.60000000000039
P_1-1-veh_105,P_1-3_2323,75.49999999999999
P_1-1-veh_105,P_1-3_528,53.30000000000049
P_1-1-veh_105,P_1-1-pt_1226,56.40000000000053
P_1-1-veh_105,P_1-1-pt_1108,305.00000000000085
P_1-1-veh_105,P_1-1-pt_3624,41.100000000000314
P_1-1-veh_105,P_1-1-pt_7863,107.19999999999818
P_1-1-veh_105,P_1-1-pt_1304,121.79999999999735
P_1-1-veh_105,P_1-1-pt_8545,106.09999999999825
P_1-1-veh_105,P_1-1-pt_5193,106.19999999999824
P_1-1-veh_105,P_1-1-pt_7325,104.39999999999834
P_1-1-veh_105,P_1-1-pt_8137,218.69999999999186
P_1-1-veh_105,P_2-1_3764,37.40000000000026
P_1-1-veh_105,P_2-1_2925,63.20000000000063
P_1-1-veh_105,P_2-1_63,34.50000000000022
P_1-1-veh_105,P_1-2_1612,20.50000000000002
P_1-1-veh_105,P_1-1-pt_6453,78.6999999999998
P_1-3_2221,P_1-2_3214,54.1000000000005
P_1-3_2221,P_1-2_3590,52.80000000000048
P_1-3_2221,P_1-2_2473,52.90000000000048
P_1-3_2221,P_1-3_1945,52.90000000000048
P_1-3_2221,P_1-2_3702,53.100000000000485
P_1-3_2221,P_1-2_848,53.200000000000486
P_1-3_2221,P_1-2_104,44.700000000000365
P_1-3_2221,P_1-1-pt_2834,48.60000000000042
P_1-3_2221,P_1-1-pt_2820,859.900000000127
P_1-3_2221,P_1-1-pt_3097,85.49999999999942
P_1-3_2018,P_1-2_573,242.7999999999905
P_1-3_2018,P_1-3_4954,205.19999999999263
P_1-3_2018,P_1-1-pt_5241,50.80000000000045
P_1-3_2018,P_2-1_2045,73.80000000000008
P_1-3_2018,P_1-3_2633,58.60000000000056
P_1-3_2018,P_1-2_4634,110.59999999999799
P_1-3_2018,P_1-3_4775,110.09999999999802
P_1-3_2018,P_1-3_2410,63.700000000000635
P_1-3_2018,P_1-3_3253,115.39999999999772
P_1-3_2018,P_1-2_5210,160.99999999999514
P_1-3_2018,P_1-3_4875,163.599999999995
P_1-3_2018,P_1-3_3410,74.80000000000003
P_1-2_609,P_1-2_3608,45.90000000000038
P_1-2_609,P_1-1-veh_246,28.600000000000136
P_1-2_609,P_1-2_5428,27.700000000000124
P_1-2_609,P_1-1-pt_498,56.90000000000054
P_1-2_609,P_1-1-veh_530,23.700000000000067
P_1-2_609,P_1-1-pt_2032,55.40000000000052
P_1-2_609,P_1-2_4266,55.60000000000052
P_1-2_609,P_1-1-pt_8735,55.300000000000516
P_1-2_609,P_1-2_5745,93.49999999999896
P_1-1-pt_5078,P_1-1-veh_105,51.40000000000046
P_1-1-pt_5078,P_1-3_3834,49.80000000000044
P_1-1-pt_5078,P_1-2_3280,64.30000000000062
P_1-1-pt_5078,P_1-1-pt_2920,51.60000000000046
P_1-1-pt_5078,P_1-1-veh_234,116.09999999999768
P_1-1-pt_5078,P_1-3_2053,49.80000000000044
P_1-1-pt_5078,P_1-2_5951,47.90000000000041
P_1-1-pt_5078,P_1-1-pt_7208,66.80000000000048
P_1-1-pt_5078,P_1-1-pt_6538,57.90000000000055
P_1-1-pt_5078,P_1-1-pt_4901,124.3999999999972
P_1-1-pt_5078,P_1-1-pt_8682,98.59999999999867
P_1-1-pt_5078,P_1-3_4690,50.90000000000045
P_1-1-pt_5078,P_1-1-pt_4966,52.00000000000047
P_1-1-pt_5078,P_1-1-pt_7080,114.89999999999775
P_1-2_4734,P_1-2_4206,225.29999999999148
P_1-2_4734,P_1-3_1500,223.99999999999156
P_1-2_4734,P_1-3_3901,223.79999999999157
P_1-2_4734,P_1-2_1420,224.09999999999155
P_1-2_4734,P_1-3_228,223.99999999999156
P_1-2_4734,P_1-3_3776,224.59999999999152
P_1-2_4734,P_2-1_2161,224.19999999999155
P_1-2_4734,P_1-3_874,111.79999999999792
P_1-2_4734,P_1-3_2454,111.99999999999791
P_1-2_4734,P_1-3_3834,111.89999999999792
P_1-2_4734,P_1-2_3280,112.1999999999979
P_1-2_4734,P_1-3_3046,112.2999999999979
P_1-2_4734,P_1-3_3457,111.89999999999792
P_1-2_4734,P_1-3_4168,112.49999999999788
P_1-2_4734,P_1-2_2287,24.800000000000082
P_1-2_4734,P_1-3_2053,1362.3999999998564
P_1-1-pt_8289,P_1-1-pt_8184,315.10000000000315
P_1-1-pt_8289,P_1-2_638,735.1000000000986
P_1-1-pt_8289,P_1-2_5753,281.8999999999956
P_1-1-pt_8289,P_1-1-veh_834,275.59999999999417
P_1-1-pt_8289,P_1-1-veh_530,59.70000000000058
P_1-1-pt_8289,P_1-3_743,110.69999999999798
P_1-1-pt_8289,P_1-3_2599,55.40000000000052
P_1-1-pt_8289,P_1-2_5745,55.40000000000052
P_1-1-pt_8289,P_1-1-pt_8735,55.70000000000052
P_1-1-pt_8289,P_1-2_4266,55.200000000000514
P_1-1-pt_8289,P_1-3_3076,55.200000000000514
P_1-1-pt_8289,P_1-1-pt_182,55.50000000000052
P_1-1-pt_8289,P_1-3_4289,55.00000000000051
P_1-1-pt_8289,P_1-1-pt_1723,101.09999999999853
P_1-2_638,P_1-1-pt_8289,735.1000000000986
P_1-2_638,P_1-1-pt_8184,160.89999999999515
P_1-2_638,P_1-3_80,15.89999999999996
P_1-2_638,P_1-2_3608,28.400000000000134
P_1-2_638,P_1-3_743,28.300000000000132
P_1-2_638,P_1-3_2599,27.800000000000125
P_1-2_638,P_1-2_5745,27.800000000000125
P_1-2_638,P_1-1-pt_8735,9.299999999999983
P_1-2_638,P_1-2_4266,27.50000000000012
P_1-2_638,P_1-1-pt_6516,31.60000000000018
P_1-2_638,P_1-3_1535,27.900000000000126
