user_id,neighbor_id,duration_seconds,ideal_duration,privacy_score
P_1-2_1990,P_1-3_5334,68.00000000000041,7199.0,1.0
P_1-2_1990,P_1-1-pt_7732,72.00000000000018,7199.0,1.0
P_1-2_1990,P_1-1-pt_5115,72.00000000000018,7199.0,1.0
P_1-2_1990,P_1-2_3386,67.00000000000047,7199.0,1.0
P_1-2_1990,P_1-2_2512,71.00000000000024,7199.0,1.0
P_1-2_1990,P_1-2_3575,128.99999999999696,7199.0,1.0
P_1-2_1990,P_1-1-pt_5906,19.0,7199.0,1.0
P_1-2_1990,P_1-1-pt_1226,51.000000000000455,7199.0,1.0
P_1-3_2374,P_1-3_2187,68.00000000000041,7199.0,1.0
P_1-3_2374,P_2-1_213,77.99999999999984,7199.0,1.0
P_1-3_2374,P_1-3_3132,69.00000000000036,7199.0,1.0
P_1-3_2410,P_1-2_4634,207.99999999999247,7197.0,1.0
P_1-3_2410,P_1-3_4775,220.99999999999173,7197.0,1.0
P_1-3_2410,P_1-3_3253,141.99999999999622,7197.0,1.0
P_1-3_2410,P_1-3_2018,80.99999999999967,7197.0,1.0
P_1-3_2410,P_1-3_2633,69.00000000000036,7197.0,1.0
P_1-3_2410,P_1-2_5210,83.9999999999995,7197.0,1.0
P_1-3_2410,P_1-2_573,71.00000000000024,7197.0,1.0
P_1-3_2410,P_1-3_4954,140.99999999999628,7197.0,1.0
P_1-3_2410,P_1-3_4875,139.99999999999633,7197.0,1.0
P_1-3_2410,P_1-3_3410,69.00000000000036,7197.0,1.0
P_1-1-veh_105,P_1-1-pt_5078,68.00000000000041,7196.0,1.0
P_1-1-veh_105,P_1-3_3046,69.00000000000036,7196.0,1.0
P_1-1-veh_105,P_1-3_3457,36.00000000000024,7196.0,1.0
P_1-1-veh_105,P_1-1-veh_234,68.00000000000041,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_2606,71.00000000000024,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_7142,65.00000000000058,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_6538,66.00000000000053,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_8682,40.0000000000003,7196.0,1.0
P_1-1-veh_105,P_1-2_1596,68.00000000000041,7196.0,1.0
P_1-1-veh_105,P_1-3_4168,68.00000000000041,7196.0,1.0
P_1-1-veh_105,P_1-2_3081,68.00000000000041,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_7080,73.00000000000013,7196.0,1.0
P_1-1-veh_105,P_1-1-veh_792,118.99999999999751,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_7763,66.00000000000053,7196.0,1.0
P_1-1-veh_105,P_1-2_2554,63.000000000000625,7196.0,1.0
P_1-1-veh_105,P_1-3_2323,105.99999999999825,7196.0,1.0
P_1-1-veh_105,P_1-3_528,68.00000000000041,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_6273,50.00000000000044,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_1226,71.00000000000024,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_1108,390.0000000000202,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_3624,60.00000000000058,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_7863,145.999999999996,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_1304,153.99999999999554,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_8545,144.99999999999605,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_5193,144.99999999999605,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_7325,142.99999999999616,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_8137,274.99999999999403,7196.0,1.0
P_1-1-veh_105,P_2-1_3764,73.00000000000013,7196.0,1.0
P_1-1-veh_105,P_2-1_2925,102.99999999999842,7196.0,1.0
P_1-1-veh_105,P_2-1_63,77.99999999999984,7196.0,1.0
P_1-1-veh_105,P_1-2_1612,64.00000000000064,7196.0,1.0
P_1-1-veh_105,P_1-1-pt_6453,101.99999999999848,7196.0,1.0
P_1-3_2221,P_1-2_3214,69.00000000000036,7190.0,1.0
P_1-3_2221,P_1-2_3590,67.00000000000047,7190.0,1.0
P_1-3_2221,P_1-2_2473,68.00000000000041,7190.0,1.0
P_1-3_2221,P_1-3_1945,68.00000000000041,7190.0,1.0
P_1-3_2221,P_1-2_3702,68.00000000000041,7190.0,1.0
P_1-3_2221,P_1-2_848,69.00000000000036,7190.0,1.0
P_1-3_2221,P_1-2_104,61.0000000000006,7190.0,1.0
P_1-3_2221,P_1-1-pt_2834,66.00000000000053,7190.0,1.0
P_1-3_2221,P_1-1-pt_2820,878.0000000001311,7190.0,1.0
P_1-3_2221,P_1-1-pt_3097,101.99999999999848,7190.0,1.0
