user_id,neighbor_id,periods,total_timesteps
P_1-1-veh_105,P_1-1-pt_6453,"[{'start_time': 25017, 'end_time': 25037, 'duration': 21}, {'start_time': 25017, 'end_time': 25037, 'duration': 21}]",7196
P_1-3_2221,P_1-2_3214,"[{'start_time': 18734, 'end_time': 18753, 'duration': 20}, {'start_time': 18734, 'end_time': 18753, 'duration': 20}]",7190
P_1-3_2221,P_1-2_3590,"[{'start_time': 19579, 'end_time': 19595, 'duration': 17}, {'start_time': 19579, 'end_time': 19595, 'duration': 17}]",7190
P_1-3_2221,P_1-2_2473,"[{'start_time': 19751, 'end_time': 19769, 'duration': 19}, {'start_time': 19751, 'end_time': 19769, 'duration': 19}]",7190
P_1-3_2221,P_1-3_1945,"[{'start_time': 19793, 'end_time': 19811, 'duration': 19}, {'start_time': 19793, 'end_time': 19811, 'duration': 19}]",7190
P_1-3_2221,P_1-2_3702,"[{'start_time': 19818, 'end_time': 19836, 'duration': 19}, {'start_time': 19818, 'end_time': 19836, 'duration': 19}]",7190
P_1-3_2221,P_1-2_848,"[{'start_time': 19948, 'end_time': 19967, 'duration': 20}, {'start_time': 19948, 'end_time': 19967, 'duration': 20}]",7190
P_1-3_2221,P_1-1-pt_2820,"[{'start_time': 24485, 'end_time': 24562, 'duration': 78}, {'start_time': 24485, 'end_time': 24562, 'duration': 78}, {'start_time': 24572, 'end_time': 25196, 'duration': 625}, {'start_time': 24572, 'end_time': 25196, 'duration': 625}]",7190
P_1-3_2221,P_1-1-pt_3097,"[{'start_time': 25149, 'end_time': 25200, 'duration': 52}, {'start_time': 25149, 'end_time': 25200, 'duration': 52}]",7190
P_1-3_2018,P_1-2_573,"[{'start_time': 18681, 'end_time': 18699, 'duration': 19}, {'start_time': 18681, 'end_time': 18699, 'duration': 19}, {'start_time': 21570, 'end_time': 21598, 'duration': 29}, {'start_time': 21570, 'end_time': 21598, 'duration': 29}, {'start_time': 24460, 'end_time': 24478, 'duration': 19}, {'start_time': 24460, 'end_time': 24478, 'duration': 19}, {'start_time': 24899, 'end_time': 24927, 'duration': 29}, {'start_time': 24899, 'end_time': 24927, 'duration': 29}]",7169
P_1-3_2018,P_1-3_4954,"[{'start_time': 18721, 'end_time': 18739, 'duration': 19}, {'start_time': 18721, 'end_time': 18739, 'duration': 19}, {'start_time': 21683, 'end_time': 21728, 'duration': 46}, {'start_time': 21683, 'end_time': 21728, 'duration': 46}, {'start_time': 25148, 'end_time': 25175, 'duration': 28}, {'start_time': 25148, 'end_time': 25175, 'duration': 28}]",7169
P_1-3_2018,P_1-1-pt_5241,"[{'start_time': 19164, 'end_time': 19175, 'duration': 12}, {'start_time': 19164, 'end_time': 19175, 'duration': 12}]",7169
P_1-3_2018,P_2-1_2045,"[{'start_time': 19390, 'end_time': 19402, 'duration': 13}, {'start_time': 19390, 'end_time': 19402, 'duration': 13}]",7169
P_1-3_2018,P_1-2_4634,"[{'start_time': 20459, 'end_time': 20483, 'duration': 25}, {'start_time': 20459, 'end_time': 20483, 'duration': 25}, {'start_time': 22136, 'end_time': 22160, 'duration': 25}, {'start_time': 22136, 'end_time': 22160, 'duration': 25}]",7169
P_1-3_2018,P_1-3_4775,"[{'start_time': 20843, 'end_time': 20868, 'duration': 26}, {'start_time': 20843, 'end_time': 20868, 'duration': 26}, {'start_time': 22466, 'end_time': 22490, 'duration': 25}, {'start_time': 22466, 'end_time': 22490, 'duration': 25}]",7169
P_1-3_2018,P_1-3_2410,"[{'start_time': 20968, 'end_time': 20997, 'duration': 30}, {'start_time': 20968, 'end_time': 20997, 'duration': 30}]",7169
P_1-3_2018,P_1-3_3253,"[{'start_time': 21075, 'end_time': 21099, 'duration': 25}, {'start_time': 21075, 'end_time': 21099, 'duration': 25}, {'start_time': 22738, 'end_time': 22762, 'duration': 25}, {'start_time': 22738, 'end_time': 22762, 'duration': 25}]",7169
P_1-3_2018,P_1-3_2633,"[{'start_time': 21381, 'end_time': 21405, 'duration': 25}, {'start_time': 21381, 'end_time': 21405, 'duration': 25}]",7169
P_1-3_2018,P_1-2_5210,"[{'start_time': 21557, 'end_time': 21586, 'duration': 30}, {'start_time': 21557, 'end_time': 21586, 'duration': 30}, {'start_time': 24452, 'end_time': 24471, 'duration': 20}, {'start_time': 24452, 'end_time': 24471, 'duration': 20}]",7169
P_1-3_2018,P_1-3_4875,"[{'start_time': 21881, 'end_time': 21930, 'duration': 50}, {'start_time': 21881, 'end_time': 21930, 'duration': 50}]",7169
P_1-3_2018,P_1-3_3410,"[{'start_time': 22188, 'end_time': 22214, 'duration': 27}, {'start_time': 22188, 'end_time': 22214, 'duration': 27}]",7169
P_1-2_609,P_1-1-pt_498,"[{'start_time': 23304, 'end_time': 23327, 'duration': 24}, {'start_time': 23304, 'end_time': 23327, 'duration': 24}]",7164
P_1-2_609,P_1-1-pt_2032,"[{'start_time': 24284, 'end_time': 24308, 'duration': 25}, {'start_time': 24284, 'end_time': 24308, 'duration': 25}]",7164
P_1-2_609,P_1-2_5745,"[{'start_time': 24376, 'end_time': 24420, 'duration': 45}, {'start_time': 24376, 'end_time': 24420, 'duration': 45}]",7164
P_1-2_609,P_1-2_4266,"[{'start_time': 24571, 'end_time': 24596, 'duration': 26}, {'start_time': 24571, 'end_time': 24596, 'duration': 26}]",7164
P_1-2_609,P_1-1-pt_8735,"[{'start_time': 24580, 'end_time': 24604, 'duration': 25}, {'start_time': 24580, 'end_time': 24604, 'duration': 25}]",7164
P_1-1-pt_5078,P_1-2_3280,"[{'start_time': 18751, 'end_time': 18774, 'duration': 24}, {'start_time': 18751, 'end_time': 18774, 'duration': 24}]",7162
P_1-1-pt_5078,P_1-1-veh_234,"[{'start_time': 19705, 'end_time': 19728, 'duration': 24}, {'start_time': 19705, 'end_time': 19728, 'duration': 24}, {'start_time': 20036, 'end_time': 20059, 'duration': 24}, {'start_time': 20036, 'end_time': 20059, 'duration': 24}]",7162
